MDS_1,MDS_2
24968.917282632836,-91502.00034251645
385.21347349513303,-6267.565093604553
26698.434911400836,-95622.93734510143
20964.6448467323,-71622.70038812346
-50386.82416330651,204834.25717097073
10911.148788415585,-40186.06045316391
-1343.119915231589,1251.9189861098448
-12971.027203692356,244.40698428702038
482.48338270435505,-28786.735009955468
-6517.253383790136,22345.154235087644
20744.045247219186,-78001.31704173922
-6282.481641924677,4472.792296503937
-4191.602982863201,9628.187425356502
25937.93040420476,-84175.82289276406
4172.26977663089,-19212.07208986379
-1498.96992788097,4642.656114948454
19810.685073409608,-67793.39305655239
-38820.35676152119,139228.76330538563
2944.9361882804988,-14363.853177134035
23705.132932553068,-93742.14347260434
-15054.916271721904,52257.776101667514
-6350.428288554232,24558.66613949969
-36656.31362741684,126220.29163799973
-26050.538975887186,88983.79803395439
12164.984112846094,-51355.82527689841
-917.3124327688762,-887.1421636109103
10082.786852761492,-41505.76714455335
11009.360924084529,-42782.50381517312
998.2677674605136,-5018.038996872457
-2369.760441132356,11143.534260886425
22000.557803932974,-96775.65914112197
-11083.979173142445,31495.4882981943
-38136.205551437655,125359.58307328892
-13045.886618316397,41417.657103177575
5295.8887887869505,-47562.70634579258
18445.560702379596,-79947.72952282468
-23472.29836260673,74892.79818368347
14504.185732862234,-55837.7934499036
2030.9708412051148,-34070.09052402363
16192.277569176686,-57398.54249496241
-10918.170612048103,53839.16018506993
4494.834752451773,-26480.24951040693
10919.991625016874,-46607.250196526504
6756.193720751249,-29950.637814421585
14346.296024865254,-56943.88373778145
23969.097269241793,-85438.82664900027
9997.801808970868,-62073.22018371195
9350.074235752776,-36490.16943550103
19169.978890910683,-88102.21097735407
5596.773813887514,-26127.051587889808
-8568.965330347946,19856.252826253043
4998.240728139689,-24741.89468494634
-23547.97245111048,81608.41466466807
16179.890773338422,-54240.17843227944
-17522.947037070848,60915.5321084916
-29843.868476858257,104245.03718099184
14237.827757960255,-50665.61031911996
22555.1282370352,-99229.97645872507
-13353.80617972421,46500.1431283158
8748.368995492852,-32989.64404147415
21918.693197404653,-65481.32153725403
-20379.52140006173,59166.600402152944
33031.40900812509,-28009.473500239266
-5891.824093861768,20545.06286421829
-10633.656949701333,21398.80298862068
6679.849470942676,-36274.33965241819
-27420.75527208856,86243.2165289294
-23816.351616690787,72248.52881788176
9473.898480170788,-40647.23503976463
7326.991536794113,-27145.177660171095
11519.53025144851,-43143.554466248876
-35051.91241162528,114803.53331790444
15049.539602633122,-60923.79445889294
-23704.068817077652,77905.8105645723
-17808.788594327274,206197.0849237609
5427.244076482058,-20893.24281362967
-8698.014377912576,41502.09574674462
-17424.869049279227,79518.08151232994
-19925.380223078275,65464.36633227826
5419.150767889946,-27338.09440081422
17625.963714247173,-72160.52956267931
-33775.12963281806,100114.56325259809
20124.20165431458,-72413.49376028261
23949.286473681706,-84821.04371318483
-1522.9532517608511,4014.528141595233
-11515.186857310755,31490.556341118285
16980.712466201006,-60290.318654476396
11983.079502951447,-48257.49693425248
19480.05424309425,-73144.7036991207
23567.48456378456,-87040.35410049417
8686.07961024568,-36168.83861622747
3854.735577012217,-29826.411513063405
-1975.6483644922612,12158.447679892974
19117.753139489636,-70101.32639767515
-94908.42600367212,362861.31784621597
5647.575606511673,-20823.232230432855
6336.614398410477,-27986.837258965337
-38666.50853811193,127554.35937043396
-16461.13897853584,41585.737866485055
-1269.6751670766957,1060.9837325012445
29932.29687292402,-102767.46832085436
6186.611684253049,-23292.65916736235
-36189.99861143272,123231.37937369896
10360.524103017944,-35121.544703484586
1319.6972733103446,-7539.900871183394
-7049.459694104643,10454.675775380916
3699.330614241062,-24635.805355281693
-10303.077543021875,42123.65984069764
1864.1722669171884,-9993.866731698727
11817.068817125506,-48309.404438248
6289.024517650409,-31464.483944328753
29922.225414823348,-96485.7773847177
-20938.993067995085,49748.16021812953
-1186.3955792940978,14563.895820354683
8935.711396916968,-33455.2626511679
4286.114180776265,-8161.894870447936
-10654.662993908234,23454.938676258305
2232.773898269576,-11449.857460577718
26391.273489163792,-96194.02019399512
13358.557201349942,-49642.75599892291
18245.56674587697,-71965.6208045668
15152.960310715776,-46176.88142733884
7695.804133686265,-44925.902212132816
15255.5917267304,-65064.5511232132
19539.761028711022,-68927.31209091101
19599.036250924815,-71005.15700446778
-1657.3679606394157,6158.129708502084
14041.72845717602,-54936.428143372184
-41101.58473246537,136404.2157240606
-36730.561650165364,59242.77436719381
14616.034430166768,-39436.9151828341
5727.221598937186,-26084.938157563305
-3824.010536805465,-11524.213074826324
-2375.0092194392037,2754.3480703386967
9118.160715860873,-42876.68882537562
-37223.98713946851,107598.81766220705
25048.533902506213,-91434.37047142339
12688.31866958582,-53283.57996533065
-4413.787762211519,12150.17581332852
-29445.56583265841,95251.92768929078
-49608.42725777591,265676.29911968065
9839.591754066298,-35387.95993083016
-16691.688078719457,70427.96639209731
-7221.4376667159995,17002.45673886891
5366.724183482583,-19334.11496832582
37296.68898811436,-115738.19250192858
-8897.602618373796,23799.26265185401
13574.924579437757,-55607.65936028694
-5534.413940418537,11863.413222970237
-7881.396103568884,22097.849897532833
-29930.7398060624,104200.08832729487
15962.336098036309,-67456.66605171484
15105.103762483692,-48286.331364914375
-10501.57782847822,-9455.268238485418
-49882.772197741804,560961.9530018058
-24223.42880161507,85027.90774230604
10149.696096103315,-44693.23659324183
24079.99182586581,-89571.53687790637
-3258.177934097972,6787.434913102873
-3608.5704267876786,27863.95172729338
17946.34851621544,-66276.42923627792
-5330.780509234371,4706.3986688213345
8078.1599671057975,-9575.470279635249
6450.922068098681,-31096.558010256314
-7368.505865096842,27391.837835894403
-10619.192272220245,41937.00270664585
10646.677698495932,-45752.38644146422
10405.795383154009,-41927.20569721889
17718.4411900912,-74781.51724409506
12344.14051350954,-39731.28415165326
-20.255707711597733,-5417.910097002194
5812.313069258354,-21294.657806159725
-2314.79755660782,5982.19924375865
-48526.55548746643,250995.18598751107
8750.567516943356,-37202.88508324914
25101.79316786095,-92434.44705446904
10430.305815053947,-45610.3569262729
-42354.70876880571,173267.04503009206
10397.028157615216,-19731.929194146935
7379.538694382315,-28701.31683940941
-8177.443343687624,3595.723383214003
16001.196593996601,-59031.66555910937
-30025.08643388224,107355.60692434046
-14745.522366179015,572893.7811779313
622.0468149410921,13195.931326722442
6177.678478925739,-27434.237511242165
20497.919217763654,-69675.65002519502
2040.3718949779995,-34067.26291573583
4193.532603267981,-37953.36842002884
16667.14859293117,-64593.18295631827
2395.9488409124065,-11395.594488642366
-8152.795096543386,-33550.75352398823
4918.564956939415,-24313.716311843822
-43512.342682150535,155208.71149503862
20936.48543176763,-70587.98961893683
2055.7723991731395,10284.624871222062
-29048.26849593755,81691.406448469
23214.50645208852,-41539.8802928453
17632.349130583214,-69639.490447507
4978.27208943731,-19200.437251545212
-65673.2871118741,275683.5412380245
18663.884615904808,-64471.9446148625
2712.3731680757705,-14438.008171397305
