MDS_1,MDS_2
26744.46439526369,-7527.02724942015
275.0163023844442,-2197.325699281304
41905.76317344402,-8085.0495475821745
-40520.92520615943,5505.921914266672
68524.37466393439,-9869.715200159953
-36708.37069966621,9286.975281521934
124533.1688442216,-20174.772436156225
18650.7054792726,-4590.545936155854
-50502.07615518747,7969.501772927772
-62407.675332402476,8567.18178811767
-51161.10673740887,5416.219049543434
162255.3745799405,-25038.109900396033
-36421.06045721758,5110.462143975238
97193.8255714388,-17054.317468212514
-23570.564899173904,3495.823643638394
-48449.12577710556,7551.995163526139
-31407.660725463258,5042.899265847033
-88817.12486660623,18818.858488455797
-21070.749775012995,5792.954381994945
-41739.5722818801,4737.626860095464
143085.10280586354,-20099.15469835317
-41370.1867799998,4523.065380393729
48168.373438464674,-9945.182892840847
-51398.343049030125,3400.455194697945
-26982.66862682345,1813.227036605658
74718.95203001953,-10987.482455454303
-45727.15905518316,6566.941844766972
123679.38806533591,-19153.206053385096
27034.446335814588,-697.6901665294164
-110337.45954325015,21504.838571337277
-138781.8370291528,24336.453697564102
-31495.915716804226,2930.205762530249
-1058.361216017779,-707.3674411216822
-15291.183921640713,1629.8410065974344
94724.07398982604,-19828.13188893849
126655.47266621268,-19802.502818179462
-35435.164561662925,5307.314474418486
-27916.32159245948,2226.547990159952
-71081.54194434365,11031.539545425429
-97626.6015318186,16342.544378260089
-21026.10890817912,999.2537217868883
-9679.891322792299,6826.747904472511
-36668.27534372179,4346.5390906810535
-50271.5134093903,6480.699132551813
-39728.19378353225,4486.370552759172
137343.44837930167,-21945.637047102697
58116.42410879161,-9504.580854313976
67755.59661818855,-12421.171682560462
-67874.07623563183,7039.546931406176
-53532.028566505156,7131.491168230115
-3390.4264681040436,2554.6931366480526
-66044.38040444479,8352.732938444322
-70003.48767327564,11273.015975173006
200785.613500329,-55426.8949866594
-50467.50777315975,7286.839256376496
-616.9423045177374,-1564.625641003661
-9797.62491748538,-6772.133678558299
15400.643416534236,-2958.858506246625
256856.35036909816,-23212.304101759062
-55708.104744430624,6963.784749819466
-22172.933329942553,5366.048922233561
-79022.50153196175,12214.750047794143
20500.109901501903,-8378.980709901385
-40424.41637299194,5937.304777592971
37713.04357759781,-8682.209698114262
134540.27190125603,-20906.791918424537
730.9732467731984,7886.8645852067775
44307.86655445426,-8819.504828318959
-99802.69668343136,16028.109160289458
44106.046536377566,-4557.623940142797
62477.08742159455,-9647.90972757343
-50977.24589215763,7184.834114071292
3828.9712568165633,-2247.855167964851
-35640.6345089567,4814.387614005012
-73086.8793152287,9435.64685147942
-89218.00435027677,14433.567022397732
-44821.31038831503,5872.6423112594675
-53426.448566387575,7520.486697998763
-44135.52176016878,4973.753314889927
-69636.30439037729,12964.03319033083
12685.900355100779,-1244.2433867819714
-28129.86102894172,-1343.2795963274182
63010.58730248113,-12248.369020801309
-53882.41857754015,7766.434425754719
-12698.235813740883,-676.6198881717434
78678.67502059083,-9844.950209538596
-6724.233006642787,1139.2752259414922
-17460.49163180385,-4121.764891190014
-94180.61328953752,17855.608983807924
-56829.00514299097,7873.427273009905
-70339.18236514235,10228.815336951337
-81114.02262255656,13831.350265051864
-16731.46341462443,4620.058537901209
-46599.18266959453,6773.938623695228
23172.73975986523,-6227.31445766955
3765.821121704991,-2563.679270790776
32425.457077479397,-7025.76249693062
-84357.26403589768,17030.374833533373
-95703.87340429147,20170.21156521965
-51551.36263559953,6723.267991301845
23608.1718924635,-5252.935026177451
-3244.0675539913127,-1920.4314704800156
-61545.99242335404,7992.002051306119
17560.884304219057,-4404.966494607235
