,Entity,Code,Year,HDI
3573,Philippines,PHL,2017,0.6990000000000001
3603,Poland,POL,2017,0.865
3633,Portugal,PRT,2017,0.847
3663,Qatar,QAT,2017,0.856
3691,Romania,ROU,2017,0.8109999999999999
3719,Russia,RUS,2017,0.816
3749,Rwanda,RWA,2017,0.524
3762,Saint Kitts and Nevis,KNA,2017,0.778
3780,Saint Lucia,LCA,2017,0.747
3798,Saint Vincent and the Grenadines,VCT,2017,0.723
3828,Samoa,WSM,2017,0.713
3858,Sao Tome and Principe,STP,2017,0.589
3886,Saudi Arabia,SAU,2017,0.853
3916,Senegal,SEN,2017,0.505
3944,Serbia,SRB,2017,0.787
3962,Seychelles,SYC,2017,0.797
3992,Sierra Leone,SLE,2017,0.419
4020,Singapore,SGP,2017,0.932
4048,Slovakia,SVK,2017,0.855
4076,Slovenia,SVN,2017,0.8959999999999999
4095,Solomon Islands,SLB,2017,0.546
4123,South Africa,ZAF,2017,0.6990000000000001
4153,South Korea,KOR,2017,0.903
4161,South Sudan,SSD,2017,0.38799999999999996
4191,Spain,ESP,2017,0.8909999999999999
4221,Sri Lanka,LKA,2017,0.77
4249,Sudan,SDN,2017,0.502
4263,Suriname,SUR,2017,0.72
4293,Swaziland,SWZ,2017,0.588
4323,Sweden,SWE,2017,0.9329999999999999
4353,Switzerland,CHE,2017,0.9440000000000001
4382,Syria,SYR,2017,0.536
4410,Tajikistan,TJK,2017,0.65
4439,Tanzania,TZA,2017,0.5379999999999999
4469,Thailand,THA,2017,0.755
4487,Timor,TLS,2017,0.625
4517,Togo,TGO,2017,0.503
4547,Tonga,TON,2017,0.726
4577,Trinidad and Tobago,TTO,2017,0.784
4607,Tunisia,TUN,2017,0.735
4637,Turkey,TUR,2017,0.7909999999999999
4645,Turkmenistan,TKM,2017,0.706
4675,Uganda,UGA,2017,0.516
4703,Ukraine,UKR,2017,0.7509999999999999
4731,United Arab Emirates,ARE,2017,0.863
4761,United Kingdom,GBR,2017,0.922
4791,United States,USA,2017,0.924
4821,Uruguay,URY,2017,0.804
4839,Uzbekistan,UZB,2017,0.71
4852,Vanuatu,VUT,2017,0.603
4882,Venezuela,VEN,2017,0.7609999999999999
4912,Vietnam,VNM,2017,0.6940000000000001
4940,Yemen,YEM,2017,0.452
4970,Zambia,ZMB,2017,0.588
5000,Zimbabwe,ZWE,2017,0.535
